company,date,country,count,overall,balance,culture,career,comp,mgmt,knowledge,power,respect,trust,social_support,romance,similarity,identity,fun,conflict,
ericsson,2008-09-00,Hungary,1,3.000,5.000,2.000,4.000,2.000,0.000,0.58392,0.33687,0.19893,0.52080,0.62614,0.00018,0.07250,0.28273,0.04283,0.04750,
nokia,2008-09-00,Finland,1,4.000,3.500,4.500,3.000,4.000,0.000,0.73976,0.19804,0.29944,0.36573,0.48572,0.00875,0.26083,0.46491,0.26870,0.12691,
nokia,2008-09-00,US,5,3.200,4.000,2.700,3.700,2.300,0.000,0.84051,0.46603,0.24248,0.35981,0.34363,0.01470,0.38833,0.40730,0.19985,0.15467,
amazon,2008-09-00,UK,1,3.000,3.500,1.500,3.500,1.000,0.000,0.60860,0.31177,0.25320,0.22083,0.35199,0.03635,0.07554,0.27972,0.28880,0.10243,
nokia,2008-09-00,UK,1,1.000,1.000,1.000,1.000,1.000,0.000,0.50713,0.42100,0.42961,0.59674,0.54143,0.29416,0.48726,0.46563,0.45351,0.27587,
apple,2008-09-00,France,1,5.000,5.000,5.000,5.000,5.000,0.000,0.61008,0.12022,0.16006,0.28883,0.17426,0.11872,0.36427,0.35687,0.26740,0.11763,
telefonica,2008-09-00,Ireland,1,3.000,4.000,3.000,3.000,2.000,0.000,0.59850,0.21899,0.21170,0.36634,0.22488,0.01273,0.49418,0.36346,0.16316,0.38588,
ericsson,2008-10-00,Sweden,2,3.500,4.500,3.500,3.250,2.500,0.000,0.61592,0.16749,0.18526,0.19589,0.43350,0.04130,0.08154,0.24875,0.14755,0.03678,
apple,2008-10-00,US,16,4.000,3.688,3.688,3.813,3.500,0.000,0.63640,0.20192,0.16596,0.14679,0.25600,0.01333,0.23526,0.28796,0.19191,0.10633,
ericsson,2008-10-00,US,2,4.000,4.500,3.500,4.250,4.250,0.000,0.62596,0.14906,0.25841,0.14193,0.39474,0.02601,0.15762,0.26978,0.17558,0.07828,
ericsson,2008-10-00,Indonesia,1,5.000,3.500,4.500,4.000,4.500,0.000,0.52560,0.15080,0.21668,0.28017,0.17436,0.01724,0.22641,0.40750,0.13140,0.21648,
